"Flat rate per product","Flat rate per product"
"Ship to Specific Countries","Ship to Specific Countries"
"Enabled","Enabled"
"Title","Title"
"Method Name","Method Name"
"Price","Price"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Sort Order","Sort Order"
